ORDER_ID,RETAILER_ID,BRAND_ID,ORDER_CREATED,ORDER_STATE,TOTAL_GMV
3767369,272577,170866,2021-07-01 00:00:00,PROCESSING,130.995
3767514,353467,7792,2021-07-01 00:00:00,PROCESSING,1136.355
3767531,356670,14499,2021-07-01 00:00:00,PROCESSING,121.41
3768175,330720,75528,2021-07-01 00:00:00,PROCESSING,383.4
3764521,363572,20403,2021-07-01 00:00:00,PROCESSING,127.7148
3764539,358991,100590,2021-07-01 00:00:00,PROCESSING,101.43060000000000
3764578,363572,13211,2021-07-01 00:00:00,PROCESSING,166.14
3764623,378878,36898,2021-07-01 00:00:00,PROCESSING,153.36000000000000
3765061,363572,45446,2021-07-01 00:00:00,PROCESSING,279.03
3765098,339669,229212,2021-07-01 00:00:00,PROCESSING,172.53
3765765,354193,121463,2021-07-01 00:00:00,PROCESSING,311.193
3765963,320440,75335,2021-07-01 00:00:00,PROCESSING,42.600000000000000
3766127,136940,16287,2021-07-01 00:00:00,PROCESSING,153.36000000000000
3766241,357700,221407,2021-07-01 00:00:00,PROCESSING,166.14
3767040,347704,20262,2021-07-01 00:00:00,PROCESSING,475.41600000000000
3767650,357644,95453,2021-07-01 00:00:00,PROCESSING,368.49
3767786,34518,201426,2021-07-01 00:00:00,PROCESSING,763.605
3764554,367698,37394,2021-07-01 00:00:00,PROCESSING,327.16800000000000
3764562,366599,7814,2021-07-01 00:00:00,PROCESSING,348.78750000000000
3764633,239031,31796,2021-07-01 00:00:00,PROCESSING,523.98
3764689,367698,33134,2021-07-01 00:00:00,PROCESSING,613.4400000000000
3765220,266379,106363,2021-07-01 00:00:00,PROCESSING,389.79000000000000
3426395,152070,208325,2021-07-01 00:00:00,PROCESSING,498.42000000000000
3765430,351588,205334,2021-07-01 00:00:00,PROCESSING,167.73750000000000
3765433,351588,207624,2021-07-01 00:00:00,PROCESSING,42.5787
3765605,369860,121463,2021-07-01 00:00:00,PROCESSING,162.945
3765796,354193,50260,2021-07-01 00:00:00,PROCESSING,460.08
3765902,369078,64381,2021-07-01 00:00:00,PROCESSING,470.73000000000000
3766069,355876,3564,2021-07-01 00:00:00,PROCESSING,277.64550000000000
3766201,59335,33021,2021-07-01 00:00:00,PROCESSING,564.876
3766318,333392,44251,2021-07-01 00:00:00,PROCESSING,89.46
3766393,181395,8462,2021-07-01 00:00:00,PROCESSING,368.064
3766399,357991,119283,2021-07-01 00:00:00,PROCESSING,596.1870000000000
3766485,181395,110722,2021-07-01 00:00:00,PROCESSING,411.7077
3766506,320440,203373,2021-07-01 00:00:00,PROCESSING,217.5156
3766605,358991,105325,2021-07-01 00:00:00,PROCESSING,191.7
3766712,190136,4910,2021-07-01 00:00:00,PROCESSING,479.25
3767105,112939,9488,2021-07-01 00:00:00,PROCESSING,846.675
3767128,307245,53402,2021-07-01 00:00:00,PROCESSING,621.4275
3767507,371508,43105,2021-07-01 00:00:00,PROCESSING,74.55
3767650,357644,50114,2021-07-01 00:00:00,PROCESSING,198.09
3764539,358991,159001,2021-07-01 00:00:00,PROCESSING,50.5875
3764575,360712,149100,2021-07-01 00:00:00,PROCESSING,1139.55
3764580,360712,155997,2021-07-01 00:00:00,PROCESSING,639.0
3764677,75148,9187,2021-07-01 00:00:00,PROCESSING,36.1674
3764953,320440,213171,2021-07-01 00:00:00,PROCESSING,332.28
3765033,320440,75249,2021-07-01 00:00:00,PROCESSING,136.32
3765097,358435,34743,2021-07-01 00:00:00,PROCESSING,376.584
3765127,383631,50553,2021-07-01 00:00:00,PROCESSING,1017.9270000000000
3765276,351588,21305,2021-07-01 00:00:00,PROCESSING,170.40000000000000
3765418,342521,53202,2021-07-01 00:00:00,PROCESSING,485.64
3765616,370566,10556,2021-07-01 00:00:00,PROCESSING,477.12
3765642,352215,14329,2021-07-01 00:00:00,PROCESSING,183.2652
3765731,373271,21605,2021-07-01 00:00:00,PROCESSING,690.12
3766348,355365,13581,2021-07-01 00:00:00,PROCESSING,224.289
3766396,357991,50408,2021-07-01 00:00:00,PROCESSING,338.67000000000000
3766501,320440,39359,2021-07-01 00:00:00,PROCESSING,328.02
3766655,320440,32098,2021-07-01 00:00:00,PROCESSING,75.40200000000000
3766866,356571,72691,2021-07-01 00:00:00,PROCESSING,958.5
3766870,353050,158458,2021-07-01 00:00:00,PROCESSING,1368.738
3647419,307752,75420,2021-07-01 00:00:00,PROCESSING,34.6125
3767650,357644,84856,2021-07-01 00:00:00,PROCESSING,148.887
3767660,274698,220347,2021-07-01 00:00:00,PROCESSING,230.04
3767733,343364,3650,2021-07-01 00:00:00,PROCESSING,734.8500000000000
3768175,330720,121463,2021-07-01 00:00:00,PROCESSING,1173.5874
3698223,354836,69735,2021-07-01 00:00:00,PROCESSING,543.15
3716645,384639,191825,2021-07-01 00:00:00,PROCESSING,41.4072
